X,Y,Z,grade_value,grade,Fig
1433,2000,-947,0.05020951979311717,0.5%Mo,5
1451,2000,-926,0.0502626567501133,0.5%Mo,5
1460,2000,-904,0.05050980170894739,0.5%Mo,5
1461,2000,-872,0.05068245026791591,0.5%Mo,5
1417,2000,-822,0.05025166871011588,0.5%Mo,5
1358,2000,-792,0.050233802709542245,0.5%Mo,5
1285,2000,-771,0.050434983390143795,0.5%Mo,5
1204,2000,-750,0.05059694168728843,0.5%Mo,5
1147,2000,-741,0.05042478589508715,0.5%Mo,5
1104,2000,-729,0.05031721365272047,0.5%Mo,5
1050,2000,-704,0.05091880331952928,0.5%Mo,5
990,2000,-700,0.050096130574995644,0.5%Mo,5
923,2000,-700,0.05093189609168216,0.5%Mo,5
892,2000,-707,0.050458297634579506,0.5%Mo,5
869,2000,-717,0.05076402098447783,0.5%Mo,5
849,2000,-726,0.05060467430440927,0.5%Mo,5
837,2000,-752,0.05037865031488942,0.5%Mo,5
845,2000,-774,0.05055187890355035,0.5%Mo,5
865,2000,-803,0.05072222586832949,0.5%Mo,5
876,2000,-846,0.050907574505762374,0.5%Mo,5
902,2000,-875,0.05074990851183727,0.5%Mo,5
936,2000,-891,0.05041230481625844,0.5%Mo,5
972,2000,-897,0.05045514000395441,0.5%Mo,5
998,2000,-905,0.05099029675753502,0.5%Mo,5
998,2000,-923,0.05011377444521069,0.5%Mo,5
984,2000,-938,0.05029804718595041,0.5%Mo,5
960,2000,-948,0.05001815276890151,0.5%Mo,5
930,2000,-950,0.05088150091325314,0.5%Mo,5
889,2000,-956,0.050607034379870464,0.5%Mo,5
876,2000,-959,0.050819292477237404,0.5%Mo,5
893,2000,-969,0.05002585608227121,0.5%Mo,5
962,2000,-972,0.05065650303166821,0.5%Mo,5
1072,2000,-931,0.050409980512371715,0.5%Mo,5
1127,2000,-951,0.05093176214477546,0.5%Mo,5
1094,2000,-969,0.050643996200275536,0.5%Mo,5
1049,2000,-912,0.05069710813062706,0.5%Mo,5
1116,2000,-925,0.05035044869985602,0.5%Mo,5
1141,2000,-955,0.050162290477710134,0.5%Mo,5
1293,2000,-952,0.0505033798742604,0.5%Mo,5
1311,2000,-914,0.05095945448596827,0.5%Mo,5
1244,2000,-938,0.05035915167132516,0.5%Mo,5
1260,2000,-973,0.050042658255906515,0.5%Mo,5
1403,2000,-938,0.05001155133247034,0.5%Mo,5
1407,2000,-884,0.05063325447254193,0.5%Mo,5
1431,2000,-856,0.05097609133067754,0.5%Mo,5
1303,2000,-853,0.05017412678494169,0.5%Mo,5
1236,2000,-887,0.05077009436150969,0.5%Mo,5
1328,2000,-891,0.05099544227149891,0.5%Mo,5
1334,2000,-853,0.050035396311277805,0.5%Mo,5
1223,2000,-809,0.050538226154136605,0.5%Mo,5
1255,2000,-791,0.050806521372878354,0.5%Mo,5
1179,2000,-789,0.0508553331745534,0.5%Mo,5
1149,2000,-750,0.05063671820592093,0.5%Mo,5
1104,2000,-748,0.050423536744319604,0.5%Mo,5
1065,2000,-723,0.05094350700304977,0.5%Mo,5
1038,2000,-724,0.050290092598427365,0.5%Mo,5
992,2000,-711,0.050956287558289494,0.5%Mo,5
926,2000,-719,0.05036609682730757,0.5%Mo,5
852,2000,-730,0.05072870390247374,0.5%Mo,5
877,2000,-743,0.05081147033711607,0.5%Mo,5
857,2000,-762,0.050760169893963245,0.5%Mo,5
891,2000,-774,0.05007249934429476,0.5%Mo,5
911,2000,-794,0.05036474429727401,0.5%Mo,5
950,2000,-817,0.05003558340228261,0.5%Mo,5
950,2000,-805,0.050152085310833115,0.5%Mo,5
875,2000,-814,0.05069451135896354,0.5%Mo,5
884,2000,-843,0.050234114250897646,0.5%Mo,5
901,2000,-862,0.0504177677461434,0.5%Mo,5
912,2000,-872,0.050567081223664684,0.5%Mo,5
1016,2000,-900,0.05085115291096688,0.5%Mo,5
1081,2000,-940,0.050370775045480695,0.5%Mo,5
1129,2000,-927,0.050900397427927166,0.5%Mo,5
1129,2000,-964,0.05000955539492376,0.5%Mo,5
1269,2000,-967,0.05098650327869244,0.5%Mo,5
1387,2000,-875,0.05048133978379567,0.5%Mo,5
1452,2000,-883,0.05059144702624409,0.5%Mo,5
